Cor,	Hex
vermelho puro,	#fc0000
laranja avermelhado,	#fc7100
laranja cenoura,	#fc9f00
amarelo puro,	#fcff00
amarelo bronzeado,	#ffc700
amarelo citrico,	#e9ff00
verde amarelado,	#c3ff00
verde citrico,	#7fff00
verde citrico p azul,	#00ff4c
verde calmo p azul,	#00ffae
entre verde e azul,	#00ffdd
azul puro citrico,	#00ffff
azul saudavel, 	#00c7ff
azul mais saudavel,	#0099ff
azul quase marinho,	#0077ff
azul marinho,	#0000ff
azul semi roxo,	#2200ff
roxo forte azulado,	#5000ff
roxo forte rosado,	#7f00ff
violeta vivo,	#b200ff
pink roxeado,	#e100ff
pink,	#ff00e1
pink avermelhado,	#ff00ae
rosa avermelhado,	#ff007b
vermelho saudavel,	#ff0048
vermelho puro,	#ff0000
